"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
12021078.3420313,10.2574070603587,5.50234304694459,11.0440868663136,10.2603368572891,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
21004598.1103168,5.31664420687594,11.6526007924695,6.87543385569006,11.5167936694343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13479793.876224,9.99719399260357,11.2405782793649,9.13689321628772,8.07517096679658,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0
8134598.717697,6.67821801942773,6.51442661625333,11.8457162729464,6.51940157776698,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1
17029672.7636024,9.10345811932348,11.6777909854427,6.94645814527757,9.5971200701315,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5591744.32034762,11.8762587474193,6.84313927195035,6.46212028339505,8.03324351436459,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1
13196804.1060009,7.70800927886739,9.58284399518743,5.08371681394055,11.8938206213061,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1
4950241.37705231,5.03361507900991,5.77922352845781,6.76848776824772,6.93706241622567,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
22083170.2208271,11.5478739533573,10.3916252902709,9.62083319970407,11.1885583538096,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1
19393161.396635,5.71879246272147,10.6616443619132,8.4000236610882,7.28214111668058,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
14773205.5216677,6.26434174226597,8.94149173679762,5.70050414139405,7.69157092575915,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
16091719.9116108,9.7076864449773,10.0968257496133,6.41773123899475,7.27835917938501,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1
16327761.3814425,7.9512070978526,5.29962919442914,11.6873599588871,6.49530890840106,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
5540259.94135275,7.55600160406902,8.31808859948069,9.04971139878035,8.29280599928461,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4130403.36726125,7.33296776702628,6.08992139785551,6.42204020777717,8.31341356784105,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
10219479.3892327,7.41871920716949,7.82104056235403,10.5214183162898,9.66165378317237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
22805263.7541505,11.8466489294078,7.43225086922757,9.53452102676965,10.9679609118029,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
6755152.47125441,7.04688663221896,9.80722474027425,5.19962123548612,9.71617424185388,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
10956467.5742547,7.17357433517464,10.0651718426961,8.64699735934846,6.52562004700303,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0
16618751.6306656,10.4258773431648,11.5673647713847,5.84945998038165,5.66497860196978,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
7426565.59737769,10.4946793839335,7.48574065766297,7.22369852242991,11.2736931650434,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1
10570253.9497548,11.3820180136245,5.40380601026118,8.23367638117634,5.31194349750876,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
21256885.5039399,10.2587312667165,8.83131670486182,11.5451881999616,11.6328667115886,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
4297488.72004033,11.1647409324069,5.42522508138791,7.61127337464131,9.17484347475693,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1
8545890.0133464,6.8101557509508,7.08722067368217,9.77768113836646,7.95105734071694,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
12814596.0081499,10.9824649929069,10.5263536961284,5.14983211364597,7.26484995824285,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
19610829.4202854,10.3128536676522,8.29836793197319,10.5946678877808,7.8627791502513,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1
1252437.34134499,8.49217819259502,6.66766458749771,5.9460417709779,6.647905200487,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
3482333.7967748,6.36857050680555,6.55339700821787,7.36972264293581,6.17766352766193,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
11638365.8066521,7.75995850632899,10.9696589405648,10.0213594723027,8.9936160845682,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
9933520.20319829,9.44788464624435,7.19632249232382,11.3932527047582,5.66925620497204,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
20028198.4965722,5.36367991194129,7.96608484489843,11.9689272376709,11.8331771141384,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
6932289.87777258,7.35892658540979,7.46540510025807,7.08979868981987,11.0830916848499,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0
9515365.00252568,8.98590986197814,7.26227568089962,5.87425898853689,5.95982841425575,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
14022932.4815789,9.25513797649182,7.06493512145244,10.6312821106985,7.66143194120377,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1
8845319.60004646,6.71922706975602,7.66851203143597,5.74033796670847,8.64495787140913,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
15232572.356675,10.8095068659168,7.19578861724585,8.65391280897893,6.68124652444385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
11724597.4940596,9.9171434675809,6.11604615906253,9.8578008946497,7.4492170996964,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0
9338563.01137986,7.52809312334284,7.65676447190344,5.51319508370943,5.97662705904804,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
10049326.367784,7.00025476422161,7.61955911852419,8.01695463480428,10.2957888236269,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
8664684.9060597,9.74619617150165,6.52344942907803,11.1760823356453,7.99264974892139,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
25413174.3090401,10.4586289187428,10.3543268810026,9.9013684799429,8.67012867121957,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
11607500.1141604,11.2900241687894,5.66987993987277,11.2241068752483,10.7877386934124,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
5387468.94093706,11.618361590663,7.21342050796375,5.94440223788843,10.4539331721608,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
19709260.8862694,10.6089293514378,11.7922803531401,7.51134018669836,8.7963401293382,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4721866.82824024,7.69631120213307,6.01018516626209,7.18690001638606,8.31663629459217,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1
1680097.53642188,8.9395076984074,9.2619387099985,5.19592140987515,11.6725183448289,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
